LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
1384-7,"Calcium^post calcium infusion",SCnc,Pt,Bld,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Blood --post calcium infusion",mmol/L,1.0,false,"Calcium^post calcium infusion:SCnc:Pt:Bld:Qn:"
25873-1,"Calcium^pre 500 mg calcium PO",SCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --pre 500 mg calcium PO",mmol/L,2.00,false,"Calcium^pre 500 mg calcium PO:SCnc:Pt:Urine:Qn:"
25584-4,"Calcium^5H post 500 mg calcium PO",SCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --5 hours post 500 mg calcium PO",mmol/L,2.00,false,"Calcium^5H post 500 mg calcium PO:SCnc:Pt:Urine:Qn:"
38643-3,"Calcium cyanamide",MCnc,Pt,Air,Qn,,DRUG/TOX,2.34,ACTIVE,1,Both,,,"Calcium cyanamide [Mass/volume] in Air",,2.14,false,"Calcium cyanamide:MCnc:Pt:Air:Qn:"
29276-3,Calcium,PrThr,Pt,Urine,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Calcium [Presence] in Urine",,2.03,false,Calcium:PrThr:Pt:Urine:Ord:
50836-6,Calcium,SCnt,Pt,Hair,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/g,"Calcium [Moles/mass] in Hair",umol/g,2.22,false,Calcium:SCnt:Pt:Hair:Qn:
1383-9,"Calcium^pre 2.4 mg/kg calcium short IV",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --pre 2.4 mg/kg calcium short IV",mmol/L,1.0,false,"Calcium^pre 2.4 mg/kg calcium short IV:SCnc:Pt:Ser/Plas:Qn:"
94255-7,Calcium,MCnc,Pt,Sweat,Qn,,CHEM,2.68,ACTIVE,1,Both,,mg/dl,"Calcium [Mass/volume] in Sweat",mg/dL,2.68,false,Calcium:MCnc:Pt:Sweat:Qn:
9467-2,Calcium,MCnc,Pt,Water,Qn,,CHEM,2.70,ACTIVE,1,Both,,ppm,"Calcium [Mass/volume] in Water",[ppm],1.0i,false,Calcium:MCnc:Pt:Water:Qn:
27182-5,Calcium,PrThr,Pt,Bld,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Calcium [Presence] in Blood",,2.00,false,Calcium:PrThr:Pt:Bld:Ord:
