LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
1383-9,"Calcium^pre 2.4 mg/kg calcium short IV",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --pre 2.4 mg/kg calcium short IV",mmol/L,1.0,false,"Calcium^pre 2.4 mg/kg calcium short IV:SCnc:Pt:Ser/Plas:Qn:"
17861-6,Calcium,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma",mg/dL,1.0l,false,Calcium:MCnc:Pt:Ser/Plas:Qn:
35246-8,Calcium,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium [Mass or Moles/volume] in Serum or Plasma",,2.11,false,Calcium:MSCnc:Pt:Ser/Plas:Qn:
2000-8,Calcium,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L;mEq/L,"Calcium [Moles/volume] in Serum or Plasma",mmol/L,1.0,false,Calcium:SCnc:Pt:Ser/Plas:Qn:
1381-3,"Calcium^10M post 2.4 mg/kg calcium short IV",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --10 minutes post 2.4 mg/kg calcium short IV",mmol/L,1.0,false,"Calcium^10M post 2.4 mg/kg calcium short IV:SCnc:Pt:Ser/Plas:Qn:"
1382-1,"Calcium^5M post 2.4 mg/kg calcium short IV",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --5 minutes post 2.4 mg/kg calcium short IV",mmol/L,1.0,false,"Calcium^5M post 2.4 mg/kg calcium short IV:SCnc:Pt:Ser/Plas:Qn:"
13448-6,Calcium/Osmolality,Ratio,Pt,Ser/Plas,Qn,,CHEM,2.69,ACTIVE,1,Observation,,,"Calcium/Osmolality [Ratio] in Serum or Plasma",,1.0j-a,false,Calcium/Osmolality:Ratio:Pt:Ser/Plas:Qn:
40067-1,Calcium^baseline,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma --baseline",mg/dL,2.15,false,Calcium^baseline:MCnc:Pt:Ser/Plas:Qn:
40226-3,Calcium^baseline,SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --baseline",mmol/L,2.15,false,Calcium^baseline:SCnc:Pt:Ser/Plas:Qn:
13444-5,Calcium/Albumin,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Calcium/Albumin [Mass Ratio] in Serum or Plasma",,1.0j-a,false,Calcium/Albumin:MRto:Pt:Ser/Plas:Qn:
16526-6,Calcium/Protein,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Protein [Mass Ratio] in Serum or Plasma",,1.0l,false,Calcium/Protein:MRto:Pt:Ser/Plas:Qn:
16527-4,Calcium/Sodium,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Sodium [Mass Ratio] in Serum or Plasma",,1.0l,false,Calcium/Sodium:MRto:Pt:Ser/Plas:Qn:
46099-8,"Calcium^^corrected for albumin",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Calcium [Mass/volume] corrected for albumin in Serum or Plasma",mg/dL,2.17,false,"Calcium^^corrected for albumin:MCnc:Pt:Ser/Plas:Qn:"
29265-6,"Calcium^^corrected for albumin",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] corrected for albumin in Serum or Plasma",mmol/L,2.03,false,"Calcium^^corrected for albumin:SCnc:Pt:Ser/Plas:Qn:"
51950-4,"Calcium^post dialysis",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma --post dialysis",mg/dL,2.24,false,"Calcium^post dialysis:MCnc:Pt:Ser/Plas:Qn:"
59148-7,"Calcium^post dialysis",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --post dialysis",mmol/L,2.32,false,"Calcium^post dialysis:SCnc:Pt:Ser/Plas:Qn:"
40064-8,"Calcium^pre XXX challenge",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma --pre XXX challenge",mg/dL,2.15,false,"Calcium^pre XXX challenge:MCnc:Pt:Ser/Plas:Qn:"
40223-0,"Calcium^pre XXX challenge",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --pre XXX challenge",mmol/L,2.15,false,"Calcium^pre XXX challenge:SCnc:Pt:Ser/Plas:Qn:"
86915-6,"Calcium goal",MCnc,Pt,Ser/Plas,Qn,,CLIN,2.63,ACTIVE,2,Both,,mg/dl,"Calcium goal [Mass/volume] Serum or Plasma",mg/dL,2.63,false,"Calcium goal:MCnc:Pt:Ser/Plas:Qn:"
16525-8,Calcium/Phosphate,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Calcium/Phosphate [Mass Ratio] in Serum or Plasma",,1.0l,false,Calcium/Phosphate:MRto:Pt:Ser/Plas:Qn:
34907-6,"Calcium^^corrected for total protein",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Observation,,mg/dL,"Calcium [Mass/volume] corrected for total protein in Serum or Plasma",mg/dL,2.11,false,"Calcium^^corrected for total protein:MCnc:Pt:Ser/Plas:Qn:"
35258-3,"Calcium^^corrected for total protein",MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Observation,,,"Calcium [Mass or Moles/volume] corrected for total protein in Serum or Plasma",,2.11,false,"Calcium^^corrected for total protein:MSCnc:Pt:Ser/Plas:Qn:"
18281-6,"Calcium^^corrected for total protein",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] corrected for total protein in Serum or Plasma",mmol/L,1.0l,false,"Calcium^^corrected for total protein:SCnc:Pt:Ser/Plas:Qn:"
17863-2,Calcium.ionized,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium.ionized [Mass/volume] in Serum or Plasma",mg/dL,1.0l,false,Calcium.ionized:MCnc:Pt:Ser/Plas:Qn:
42567-8,Calcium.ionized,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium.ionized [Mass or Moles/volume] in Serum or Plasma",,2.16,false,Calcium.ionized:MSCnc:Pt:Ser/Plas:Qn:
1995-0,Calcium.ionized,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium.ionized [Moles/volume] in Serum or Plasma",mmol/L,1.0,false,Calcium.ionized:SCnc:Pt:Ser/Plas:Qn:
49935-0,"Calcium.ionized/Calcium.total^^corrected for albumin",MFr,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Observation,,%,"Calcium.ionized/Calcium.total corrected for albumin in Serum or Plasma",%,2.22,false,"Calcium.ionized/Calcium.total^^corrected for albumin:MFr:Pt:Ser/Plas:Qn:"
