LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
100857-2,Cells.CD3+CD8+/Cells,NFr,Pt,"Bld MC",Qn,,MICRO,2.79,TRIAL,1,Both,,%,"CD3+CD8+ (T8 suppressor) cells/cells in Blood mononuclear cells",%,2.73,false,"Cells.CD3+CD8+/Cells:NFr:Pt:Bld MC:Qn:"
80703-2,Cells.CD27+CD45RA-/Cells.CD3+CD8+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27+CD45RA- cells/CD3+CD8+ (T8 suppressor cells) cells in Blood",%,2.56,false,Cells.CD27+CD45RA-/Cells.CD3+CD8+:NFr:Pt:Bld:Qn:
80705-7,Cells.CD27+CD45RA+/Cells.CD3+CD8+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27+CD45RA+ cells/CD3+CD8+ (T8 suppressor cells) cells in Blood",%,2.56,false,Cells.CD27+CD45RA+/Cells.CD3+CD8+:NFr:Pt:Bld:Qn:
80701-6,Cells.CD27-/Cells.CD3+CD8+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27- cells/CD3+CD8+ (T8 suppressor cells) cells in Blood",%,2.56,false,Cells.CD27-/Cells.CD3+CD8+:NFr:Pt:Bld:Qn:
80708-1,Cells.CD27-CD45RA-/Cells.CD3+CD4+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27-CD45RA- cells/CD3+CD4+ (T4 helper) cells in Blood",%,2.56,false,Cells.CD27-CD45RA-/Cells.CD3+CD4+:NFr:Pt:Bld:Qn:
80709-9,Cells.CD27-CD45RA+/Cells.CD3+CD4+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27-CD45RA+ cells/CD3+CD4+ (T4 helper) cells in Blood",%,2.56,false,Cells.CD27-CD45RA+/Cells.CD3+CD4+:NFr:Pt:Bld:Qn:
40624-9,Cells.CD3+CD8+/Cells,NFr,Pt,Bronchial,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD8+ (T8 suppressor) cells/cells in Bronchial specimen",%,2.15,false,Cells.CD3+CD8+/Cells:NFr:Pt:Bronchial:Qn:
100856-4,Cells.CD3+CD4+/Cells,NFr,Pt,"Bld MC",Qn,,MICRO,2.79,TRIAL,1,Both,,%,"CD3+CD4+ (T4 helper) cells/cells in Blood mononuclear cells",%,2.73,false,"Cells.CD3+CD4+/Cells:NFr:Pt:Bld MC:Qn:"
60456-1,Cells.CD3+CD8+CD57+/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD8+CD57+ cells/cells in Blood",%,2.34,false,Cells.CD3+CD8+CD57+/Cells:NFr:Pt:Bld:Qn:
80702-4,Cells.CD27+CD45RA-/Cells.CD3+CD4+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27+CD45RA- cells/CD3+CD4+ (T4 helper) cells in Blood",%,2.56,false,Cells.CD27+CD45RA-/Cells.CD3+CD4+:NFr:Pt:Bld:Qn:
80704-0,Cells.CD27+CD45RA+/Cells.CD3+CD4+,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD27+CD45RA+ cells/CD3+CD4+ (T4 helper) cells in Blood",%,2.56,false,Cells.CD27+CD45RA+/Cells.CD3+CD4+:NFr:Pt:Bld:Qn:
34929-0,Cells.CD3+CD4+CD45RO+CD45RA-/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD4+CD45RO+CD45RA- cells/cells in Blood",%,2.11,false,Cells.CD3+CD4+CD45RO+CD45RA-/Cells:NFr:Pt:Bld:Qn:
34930-8,Cells.CD3+CD4+CD45RO+CD45RA+/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD4+CD45RO+CD45RA+ cells/cells in Blood",%,2.11,false,Cells.CD3+CD4+CD45RO+CD45RA+/Cells:NFr:Pt:Bld:Qn:
34933-2,Cells.CD3+CD8+CD45RO+CD45RA-/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD8+CD45RO+CD45RA- cells/cells in Blood",%,2.11,false,Cells.CD3+CD8+CD45RO+CD45RA-/Cells:NFr:Pt:Bld:Qn:
34934-0,Cells.CD3+CD8+CD45RO+CD45RA+/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD8+CD45RO+CD45RA+ cells/cells in Blood",%,2.11,false,Cells.CD3+CD8+CD45RO+CD45RA+/Cells:NFr:Pt:Bld:Qn:
34935-7,Cells.CD3+CD8+CD45RO-CD45RA-/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD8+CD45RO-CD45RA- cells/cells in Blood",%,2.11,false,Cells.CD3+CD8+CD45RO-CD45RA-/Cells:NFr:Pt:Bld:Qn:
34936-5,Cells.CD3+CD8+CD45RO-CD45RA+/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD8+CD45RO-CD45RA+ cells/cells in Blood",%,2.11,false,Cells.CD3+CD8+CD45RO-CD45RA+/Cells:NFr:Pt:Bld:Qn:
61121-0,Cells.CD8-CD57+/Cells,NFr,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD8-CD57+ cells/cells in Blood",%,2.34,false,Cells.CD8-CD57+/Cells:NFr:Pt:Bld:Qn:
54218-3,Cells.CD3+CD4+/Cells.CD3+CD8+,NRto,Pt,Bld,Qn,,CELLMARK,2.79,ACTIVE,1,Both,,ratio,"CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood",%,2.27,false,Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Bld:Qn:
32756-9,Cells.CD3+CD4+/Cells.CD3+CD8+,NRto,Pt,Bronchial,Qn,,CELLMARK,2.79,ACTIVE,1,Observation,,%,"CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Bronchial specimen",%,2.09,false,Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Bronchial:Qn:
