LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
58434-2,"Cells panel",-,Pt,"Urine sed",-,,PANEL.UA,2.61,DISCOURAGED,1,Order,,,"Cells panel - Urine sediment",,2.30,true,"Cells panel:-:Pt:Urine sed:-:"
105113-5,"Epithelial cells",Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[LPF],"Epithelial cells [#/area] in Urine sediment",/[LPF],2.78,false,"Epithelial cells:Naric:Pt:Urine sed:Qn:"
105114-3,"Epithelial cells",PrThr,Pt,"Urine sed",Ord,,UA,2.78,ACTIVE,1,Both,,,"Epithelial cells [Presence] in Urine sediment",,2.78,false,"Epithelial cells:PrThr:Pt:Urine sed:Ord:"
105095-4,"Transitional cells",Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[HPF],"Transitional cells [#/area] in Urine sediment",/[HPF],2.78,false,"Transitional cells:Naric:Pt:Urine sed:Qn:"
58438-3,Cells,Type,Pt,"Urine sed",Nom,Microscopy.light,UA,2.30,ACTIVE,1,Both,,,"Cells [Type] in Urine sediment by Light microscopy",,2.30,false,"Cells:Type:Pt:Urine sed:Nom:Microscopy.light"
105116-8,"Epithelial cells.renal",Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[HPF],"Epithelial cells.renal [#/area] in Urine sediment",/[HPF],2.78,false,"Epithelial cells.renal:Naric:Pt:Urine sed:Qn:"
105115-0,"Epithelial cells.non-squamous",Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[HPF],"Epithelial cells.non-squamous [#/area] in Urine sediment",/[HPF],2.78,false,"Epithelial cells.non-squamous:Naric:Pt:Urine sed:Qn:"
105088-9,"Epithelial cells.non-squamous",PrThr,Pt,"Urine sed",Ord,,UA,2.78,ACTIVE,1,Observation,,,"Epithelial cells.non-squamous [Presence] in Urine sediment",,2.78,false,"Epithelial cells.non-squamous:PrThr:Pt:Urine sed:Ord:"
90044-9,"Epithelial cells.renal",PrThr,Pt,"Urine sed",Ord,,UA,2.65,ACTIVE,1,Both,,,"Epithelial cells.renal [Presence] in Urine sediment",,2.65,false,"Epithelial cells.renal:PrThr:Pt:Urine sed:Ord:"
14384-2,"Mononuclear cells/Leukocytes",NFr,Pt,"Urine sed",Qn,"Manual count",UA,2.79,ACTIVE,1,Observation,,%,"Mononuclear cells/Leukocytes in Urine sediment by Manual count",%,1.0k,false,"Mononuclear cells/Leukocytes:NFr:Pt:Urine sed:Qn:Manual count"
20453-7,"Epithelial cells",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Epithelial cells [Presence] in Urine sediment by Light microscopy",,1.0m,false,"Epithelial cells:PrThr:Pt:Urine sed:Ord:Microscopy.light"
8249-5,"Transitional cells",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Transitional cells [Presence] in Urine sediment by Light microscopy",,1.0h(2),false,"Transitional cells:PrThr:Pt:Urine sed:Ord:Microscopy.light"
13653-1,"Epithelial cells.renal",NCnc,Pt,"Urine sed",Qn,,UA,2.73,ACTIVE,1,Observation,,/mL,"Epithelial cells.renal [#/volume] in Urine sediment",/mL,1.0k,false,"Epithelial cells.renal:NCnc:Pt:Urine sed:Qn:"
12248-1,"Epithelial cells.renal",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Epithelial cells.renal [Presence] in Urine sediment by Light microscopy",,1.0j-a,false,"Epithelial cells.renal:PrThr:Pt:Urine sed:Ord:Microscopy.light"
99876-5,"Transitional cells.deep",Naric,Pt,"Urine sed",Qn,"Computer assisted",UA,2.72,ACTIVE,1,Observation,,p/HPF,"Deep transitional cells [#/area] in Urine sediment by Computer assisted method",/[HPF],2.72,false,"Transitional cells.deep:Naric:Pt:Urine sed:Qn:Computer assisted"
99873-2,"Transitional cells.superficial",Naric,Pt,"Urine sed",Qn,"Computer assisted",UA,2.72,ACTIVE,1,Observation,,p/HPF,"Superficial transitional cells [#/area] in Urine sediment by Computer assisted method",/[HPF],2.72,false,"Transitional cells.superficial:Naric:Pt:Urine sed:Qn:Computer assisted"
33342-7,"Epithelial cells",Naric,Pt,"Urine sed",Qn,"Automated count",UA,2.73,ACTIVE,1,Observation,,/HPF,"Epithelial cells [#/area] in Urine sediment by Automated count",/[HPF],2.09,false,"Epithelial cells:Naric:Pt:Urine sed:Qn:Automated count"
5787-7,"Epithelial cells",Naric,Pt,"Urine sed",Qn,Microscopy.light.HPF,UA,2.73,ACTIVE,1,Observation,,/HPF,"Epithelial cells [#/area] in Urine sediment by Microscopy high power field",/[HPF],1.0,false,"Epithelial cells:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF"
46133-5,"Epithelial cells",Naric,Pt,"Urine sed",Qn,Microscopy.light.LPF,UA,2.73,ACTIVE,1,Both,,/lpf,"Epithelial cells [#/area] in Urine sediment by Microscopy low power field",/[LPF],2.17,false,"Epithelial cells:Naric:Pt:Urine sed:Qn:Microscopy.light.LPF"
53972-6,"Burr cells",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Burr cells [Presence] in Urine sediment by Light microscopy",,2.26,false,"Burr cells:PrThr:Pt:Urine sed:Ord:Microscopy.light"
30089-7,"Transitional cells",Naric,Pt,"Urine sed",Qn,Microscopy.light.HPF,UA,2.73,ACTIVE,1,Observation,,/HPF,"Transitional cells [#/area] in Urine sediment by Microscopy high power field",/[HPF],2.04,false,"Transitional cells:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF"
46136-8,"Transitional cells",Naric,Pt,"Urine sed",Qn,Microscopy.light.LPF,UA,2.73,ACTIVE,1,Both,,/LPF,"Transitional cells [#/area] in Urine sediment by Microscopy low power field",/[LPF],2.17,false,"Transitional cells:Naric:Pt:Urine sed:Qn:Microscopy.light.LPF"
58456-5,"Bladder cells",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.56,ACTIVE,1,Observation,,,"Bladder cells [Presence] in Urine sediment by Light microscopy",,2.32,false,"Bladder cells:PrThr:Pt:Urine sed:Ord:Microscopy.light"
107170-3,"Tubular cells",NCnc,Pt,"Urine sed",Qn,,UA,2.79,ACTIVE,1,Both,,/µL,"Tubular cells [#/volume] in Urine sediment",/µL,2.79,false,"Tubular cells:NCnc:Pt:Urine sed:Qn:"
11276-3,"Tubular cells",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Tubular cells [Presence] in Urine sediment by Light microscopy",,1.0j-a,false,"Tubular cells:PrThr:Pt:Urine sed:Ord:Microscopy.light"
53294-5,"Epithelial cells.non-squamous",Naric,Pt,"Urine sed",Qn,"Automated count",UA,2.73,ACTIVE,1,Observation,,,"Epithelial cells.non-squamous [#/area] in Urine sediment by Automated count",/[HPF],2.24,false,"Epithelial cells.non-squamous:Naric:Pt:Urine sed:Qn:Automated count"
41284-1,"Epithelial cells.non-squamous",Naric,Pt,"Urine sed",Qn,Microscopy.light.HPF,UA,2.73,ACTIVE,1,Observation,,/HPF,"Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field",/[HPF],2.15,false,"Epithelial cells.non-squamous:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF"
53132-7,"Epithelial cells.non-squamous",Naric,Pt,"Urine sed",Qn,Microscopy.light.LPF,UA,2.73,ACTIVE,1,Observation,,/LPF,"Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy low power field",/[LPF],2.24,false,"Epithelial cells.non-squamous:Naric:Pt:Urine sed:Qn:Microscopy.light.LPF"
53978-3,"Epithelial cells.non-squamous",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Epithelial cells.non-squamous [Presence] in Urine sediment by Light microscopy",,2.26,false,"Epithelial cells.non-squamous:PrThr:Pt:Urine sed:Ord:Microscopy.light"
26052-1,"Epithelial cells.renal",Naric,Pt,"Urine sed",Qn,Microscopy.light.HPF,UA,2.73,ACTIVE,1,Observation,,/HPF,"Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field",/[HPF],2.00,false,"Epithelial cells.renal:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF"
45391-0,"Epithelial cells.renal",Naric,Pt,"Urine sed",Qn,Microscopy.light.LPF,UA,2.73,ACTIVE,1,Observation,,/LPF,"Epithelial cells.renal [#/area] in Urine sediment by Microscopy low power field",/[LPF],2.17,false,"Epithelial cells.renal:Naric:Pt:Urine sed:Qn:Microscopy.light.LPF"
99875-7,"Transitional cells.deep",PrThr,Pt,"Urine sed",Ord,"Computer assisted",UA,2.72,ACTIVE,1,Observation,,,"Deep transitional cells [Presence] in Urine sediment by Computer assisted method",,2.72,false,"Transitional cells.deep:PrThr:Pt:Urine sed:Ord:Computer assisted"
