LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
26471-3,"Leukocytes other/Leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Blood",%,2.00,false,"Leukocytes other/Leukocytes:NFr:Pt:Bld:Qn:"
32808-8,"Leukocytes other/Leukocytes",NFr,Pt,Bronchial,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Bronchial specimen",%,2.09,false,"Leukocytes other/Leukocytes:NFr:Pt:Bronchial:Qn:"
67128-9,Leukocytes.abnormal/Leukocytes,NFr,Pt,XXX,Qn,"Flow cytometry",CELLMARK,2.79,ACTIVE,1,Observation,,%,"Abnormal leukocytes/Leukocytes in Specimen by Flow cytometry (FC)",%,2.38,false,"Leukocytes.abnormal/Leukocytes:NFr:Pt:XXX:Qn:Flow cytometry"
30407-1,"Leukocytes other/Leukocytes",NFr,Pt,"Pericard fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Pericardial fluid",%,2.04,false,"Leukocytes other/Leukocytes:NFr:Pt:Pericard fld:Qn:"
30409-7,"Leukocytes other/Leukocytes",NFr,Pt,"Periton fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Peritoneal fluid",%,2.04,false,"Leukocytes other/Leukocytes:NFr:Pt:Periton fld:Qn:"
30408-9,"Leukocytes other/Leukocytes",NFr,Pt,"Plr fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Pleural fluid",%,2.04,false,"Leukocytes other/Leukocytes:NFr:Pt:Plr fld:Qn:"
730-2,"Leukocytes other/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Blood by Manual count",%,1.0,false,"Leukocytes other/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
40543-1,"Leukocytes other/Leukocytes",NFr,Pt,Bronchial,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Bronchial specimen by Manual count",%,2.15,false,"Leukocytes other/Leukocytes:NFr:Pt:Bronchial:Qn:Manual count"
40646-2,"Leukocytes other/Leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Blood by Automated count",%,2.15,false,"Leukocytes other/Leukocytes:NFr:Pt:Bld:Qn:Automated count"
26473-9,"Leukocytes other/Leukocytes",NFr,Pt,"Body fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Body fluid",%,2.00,false,"Leukocytes other/Leukocytes:NFr:Pt:Body fld:Qn:"
26472-1,"Leukocytes other/Leukocytes",NFr,Pt,CSF,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Cerebral spinal fluid",%,2.00,false,"Leukocytes other/Leukocytes:NFr:Pt:CSF:Qn:"
14857-7,"Leukocytes other/Leukocytes",NFr,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Pericardial fluid by Manual count",%,1.0k,false,"Leukocytes other/Leukocytes:NFr:Pt:Pericard fld:Qn:Manual count"
14859-3,"Leukocytes other/Leukocytes",NFr,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Peritoneal fluid by Manual count",%,1.0k,false,"Leukocytes other/Leukocytes:NFr:Pt:Periton fld:Qn:Manual count"
14858-5,"Leukocytes other/Leukocytes",NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Pleural fluid by Manual count",%,1.0k,false,"Leukocytes other/Leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
30410-5,"Leukocytes other/Leukocytes",NFr,Pt,"Synv fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Synovial fluid",%,2.04,false,"Leukocytes other/Leukocytes:NFr:Pt:Synv fld:Qn:"
68432-4,"Leukocytes other/Leukocytes",NFr,Pt,"Vitr fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Both,,%,"Leukocytes other/Leukocytes in Vitreous fluid by Manual count",%,2.38,false,"Leukocytes other/Leukocytes:NFr:Pt:Vitr fld:Qn:Manual count"
71601-9,"Leukocytes other/leukocytes",NFr.DF,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Leukocytes other/Leukocytes [Pure number fraction] in Pericardial fluid by Manual count",,2.42,false,"Leukocytes other/leukocytes:NFr.DF:Pt:Pericard fld:Qn:Manual count"
71611-8,"Leukocytes other/leukocytes",NFr.DF,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Leukocytes other/Leukocytes [Pure number fraction] in Pleural fluid by Manual count",,2.42,false,"Leukocytes other/leukocytes:NFr.DF:Pt:Plr fld:Qn:Manual count"
68378-9,Leukocytes.disintegrated/Leukocytes,NFr,Pt,Bld,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes.disintegrated/Leukocytes in Blood",%,2.38,false,Leukocytes.disintegrated/Leukocytes:NFr:Pt:Bld:Qn:
13524-4,"Leukocytes other/Leukocytes",NFr,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Body fluid by Manual count",%,1.0k,false,"Leukocytes other/Leukocytes:NFr:Pt:Body fld:Qn:Manual count"
13523-6,"Leukocytes other/Leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Cerebral spinal fluid by Manual count",%,1.0k,false,"Leukocytes other/Leukocytes:NFr:Pt:CSF:Qn:Manual count"
40535-7,"Leukocytes other/Leukocytes",NFr,Pt,"Dial fld prt",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Peritoneal dialysis fluid by Manual count",%,2.15,false,"Leukocytes other/Leukocytes:NFr:Pt:Dial fld prt:Qn:Manual count"
14860-1,"Leukocytes other/Leukocytes",NFr,Pt,"Synv fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Synovial fluid by Manual count",%,1.0k,false,"Leukocytes other/Leukocytes:NFr:Pt:Synv fld:Qn:Manual count"
