LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
2753-2,pH,LsCnc,Pt,Ser/Plas,SemiQn,,CHEM,2.75,ACTIVE,1,Both,,pH,"pH of Serum or Plasma",[pH],1.0,false,pH:LsCnc:Pt:Ser/Plas:SemiQn:
46963-5,"Tube number",ID,Pt,Ser/Plas/Bld,Nom,,SPEC,2.73,ACTIVE,1,Observation,,,"Tube number of Serum, Plasma or Blood",,2.19,false,"Tube number:ID:Pt:Ser/Plas/Bld:Nom:"
77136-0,Urea,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,mmol/L,"Urea [Moles/volume] in Serum, Plasma or Blood",mmol/L,2.52,false,Urea:SCnc:Pt:Ser/Plas/Bld:Qn:
15176-1,Cryoproteins,Prid,Pt,Ser/Plas,Nom,,CHEM,2.79,ACTIVE,1,Both,,,"Cryoproteins identified in Serum or Plasma",,1.0k,false,Cryoproteins:Prid:Pt:Ser/Plas:Nom:
40860-9,Cytokines,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Cytokines [Presence] in Serum or Plasma",,2.15,false,Cytokines:PrThr:Pt:Ser/Plas:Ord:
32619-9,Biotinidase,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Biotinidase [Presence] in Serum or Plasma",,2.09,false,Biotinidase:PrThr:Pt:Ser/Plas:Ord:
2692-2,Observation,Osmol,Pt,Ser/Plas,Qn,,CHEM,2.79,ACTIVE,1,Both,,"mmol/kg H2O;mOsm/L; mOsmol/kg","Osmolality of Serum or Plasma",mosm/kg,1.0,false,Observation:Osmol:Pt:Ser/Plas:Qn:
20395-0,"Sample integrity",Type,Pt,Ser/Plas,Nom,,SPEC,2.73,ACTIVE,1,Observation,,,"Sample integrity [Type] of Serum or Plasma",,1.0m,false,"Sample integrity:Type:Pt:Ser/Plas:Nom:"
55453-5,Haptoglobin,-,Pt,Ser/Plas,-,,LABORDERS,2.66,DEPRECATED,1,Order,,,"Deprecated Haptoglobin in Serum or Plasma",,2.27,false,Haptoglobin:-:Pt:Ser/Plas:-:
100898-6,"Lipid panel",-,Pt,Ser/Plas,-,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Lipid panel - Serum or Plasma",,2.73,true,"Lipid panel:-:Pt:Ser/Plas:-:"
3065-0,Trypsinogen,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Trypsinogen [Presence] in Serum or Plasma",,1.0,false,Trypsinogen:PrThr:Pt:Ser/Plas:Ord:
33805-3,Fructosamine,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,ng/L,"Fructosamine [Mass/volume] in Serum or Plasma",ng/L,2.09,false,Fructosamine:MCnc:Pt:Ser/Plas:Qn:
95920-5,Galantamine,MCnc,Pt,Ser/Plas/Bld,Qn,,DRUG/TOX,2.69,ACTIVE,1,Both,,ng/mL,"Galantamine [Mass/volume] in Serum, Plasma or Blood",ng/mL,2.69,false,Galantamine:MCnc:Pt:Ser/Plas/Bld:Qn:
77138-6,Chloride,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,mmol/L,"Chloride [Moles/volume] in Serum, Plasma or Blood",mmol/L,2.52,false,Chloride:SCnc:Pt:Ser/Plas/Bld:Qn:
48620-9,Cholesterol,MCnc,Pt,Ser/Plas.ultracentrifugate,Qn,,CHEM,2.40,ACTIVE,1,Both,,mg/dL,"Cholesterol [Mass/volume] in Serum or Plasma ultracentrifugate",mg/dL,2.21,false,Cholesterol:MCnc:Pt:Ser/Plas.ultracentrifugate:Qn:
77139-4,Sodium,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,mmol/L,"Sodium [Moles/volume] in Serum, Plasma or Blood",mmol/L,2.52,false,Sodium:SCnc:Pt:Ser/Plas/Bld:Qn:
27351-6,Pantothenate,PrThr,Pt,Ser/Plas/Bld,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Pantothenate [Presence] in Serum, Plasma or Blood",,2.00,false,Pantothenate:PrThr:Pt:Ser/Plas/Bld:Ord:
77142-8,Potassium,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,mmol/L,"Potassium [Moles/volume] in Serum, Plasma or Blood",mmol/L,2.52,false,Potassium:SCnc:Pt:Ser/Plas/Bld:Qn:
32046-5,"Pregnancy associated plasma protein A",ACnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,IU/L;mIU/L,"Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma",[IU]/mL,2.07,false,"Pregnancy associated plasma protein A:ACnc:Pt:Ser/Plas:Qn:"
48407-1,"Pregnancy associated plasma protein A",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,ng/mL,"Pregnancy associated plasma protein A [Mass/volume] in Serum or Plasma",ng/mL,2.21,false,"Pregnancy associated plasma protein A:MCnc:Pt:Ser/Plas:Qn:"
32123-2,"Pregnancy associated plasma protein A",MoM,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,M.o.M,"Pregnancy associated plasma protein A [Multiple of the median] in Serum or Plasma",{M.o.M},2.07,false,"Pregnancy associated plasma protein A:MoM:Pt:Ser/Plas:Qn:"
76348-2,"Pregnancy associated plasma protein A^^adjusted",MoM,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,M.o.M,"Pregnancy associated plasma protein A [Multiple of the median] adjusted in Serum or Plasma",{M.o.M},2.52,false,"Pregnancy associated plasma protein A^^adjusted:MoM:Pt:Ser/Plas:Qn:"
15069-8,Fructosamine,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mcmol/L; mmol/L","Fructosamine [Moles/volume] in Serum or Plasma",umol/L,1.0k,false,Fructosamine:SCnc:Pt:Ser/Plas:Qn:
53550-0,Fructosamine/Protein,Ratio,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/g,"Fructosamine/Protein [Ratio] in Serum or Plasma",umol/g,2.26,false,Fructosamine/Protein:Ratio:Pt:Ser/Plas:Qn:
22676-1,7-Dehydrocholesterol,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"7-Dehydrocholesterol [Presence] in Serum or Plasma",,1.0n,false,7-Dehydrocholesterol:PrThr:Pt:Ser/Plas:Ord:
31991-3,Acylcarnitine,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.63,ACTIVE,1,Both,,,"Acylcarnitine [Presence] in Serum or Plasma",,2.07,false,Acylcarnitine:PrThr:Pt:Ser/Plas:Ord:
43433-2,"Acylcarnitine panel",-,Pt,Ser/Plas,-,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Acylcarnitine panel - Serum or Plasma",,2.17,true,"Acylcarnitine panel:-:Pt:Ser/Plas:-:"
47828-9,Adiponectin,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/L,"Adiponectin [Mass/volume] in Serum or Plasma",mg/L,2.21,false,Adiponectin:MCnc:Pt:Ser/Plas:Qn:
79581-5,Alanylproline,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.56,ACTIVE,1,Observation,,umol/L,"Alanylproline [Moles/volume] in Serum or Plasma",umol/L,2.54,false,Alanylproline:SCnc:Pt:Ser/Plas:Qn:
75158-6,Allantoine,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.48,ACTIVE,1,Both,,umol/L,"Allantoine [Moles/volume] in Serum or Plasma",umol/L,2.48,false,Allantoine:SCnc:Pt:Ser/Plas:Qn:
38355-4,Chitotriosidase,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,"arb U/L","Chitotriosidase [Enzymatic activity/volume] in Serum or Plasma",U/L,2.14,false,Chitotriosidase:CCnc:Pt:Ser/Plas:Qn:
80371-8,Chitotriosidase,CCnt,Pt,Ser/Plas,Qn,,CHEM,2.54,ACTIVE,1,Both,,"nmol/H/mg protein","Chitotriosidase [Enzymatic activity/mass] in Serum or Plasma",nmol/h/mg{protein},2.54,false,Chitotriosidase:CCnt:Pt:Ser/Plas:Qn:
2167-5,Cryoglobulin,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,DISCOURAGED,1,Both,,,"Cryoglobulin [Presence] in Serum or Plasma",,1.0,false,Cryoglobulin:PrThr:Pt:Ser/Plas:Ord:
2172-5,Cystathionine,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,ACTIVE,1,Observation,,,"Cystathionine [Presence] in Serum or Plasma",,1.0,false,Cystathionine:PrThr:Pt:Ser/Plas:Ord:
20641-7,Cysteine,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Observation,,umol/L,"Cysteine [Moles/volume] in Serum or Plasma",umol/L,1.0m,false,Cysteine:SCnc:Pt:Ser/Plas:Qn:
