LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
81323-8,"Urine collection associated observations panel",-,24H,Urine,-,,PANEL.SPEC,2.63,ACTIVE,1,Order,,,"Urine collection associated observations panel - 24 hour Urine",,2.56,true,"Urine collection associated observations panel:-:24H:Urine:-:"
80334-6,"Urine collection device",Type,Pt,Urine,Nom,,H&P.PX,2.54,ACTIVE,2,Observation,,,"Urine collection device",,2.54,false,"Urine collection device:Type:Pt:Urine:Nom:"
98126-6,"Zimnitsky urine concentration panel",-,-,Urine,-,,PANEL.UA,2.71,ACTIVE,1,Order,,,"Zimnitsky urine concentration panel - Urine",,2.71,true,"Zimnitsky urine concentration panel:-:-:Urine:-:"
106965-7,"Human urine markers assessment",PrThr,Pt,Urine,Ord,Confirm,DRUG/TOX,2.79,ACTIVE,1,Observation,,,"Human urine markers assessment [Presence] in Urine by Confirmatory method",,2.79,false,"Human urine markers assessment:PrThr:Pt:Urine:Ord:Confirm"
11279-7,"Urine sediment comments",Find,Pt,"Urine sed",Nar,Microscopy.light,UA,2.73,ACTIVE,1,Observation,,,"Urine sediment comments by Light microscopy Narrative",,1.0j-a,false,"Urine sediment comments:Find:Pt:Urine sed:Nar:Microscopy.light"
105099-6,Yeast,PrThr,Pt,"Urine sed",Ord,,UA,2.78,ACTIVE,1,Both,,,"Yeast [Presence] in Urine sediment",,2.78,false,"Yeast:PrThr:Pt:Urine sed:Ord:"
79539-3,"HEDIS 2016-2018 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,Both,,,"HEDIS 2016-2018 Value Set - Urine Protein Tests",,2.54,false,"HEDIS 2016-2018 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
90989-5,"HEDIS 2019 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2019 Value Set - Urine Protein Tests",,2.65,false,"HEDIS 2019 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
94142-7,"HEDIS 2020 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.69,DISCOURAGED,1,,,,"HEDIS 2020 Value Set - Urine Protein Tests",,2.67,false,"HEDIS 2020 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
79549-2,"Fluid output.urine nephrostomy",Vol,Pt,"Urinary tract",Qn,Measured,IO_OUT.MOLEC,2.56,ACTIVE,2,Observation,,mL,"Urine output measured by nephrostomy",mL,2.54,false,"Fluid output.urine nephrostomy:Vol:Pt:Urinary tract:Qn:Measured"
58434-2,"Cells panel",-,Pt,"Urine sed",-,,PANEL.UA,2.61,DISCOURAGED,1,Order,,,"Cells panel - Urine sediment",,2.30,true,"Cells panel:-:Pt:Urine sed:-:"
105893-2,Crystals,Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[HPF],"Crystals [#/area] in Urine sediment",/[HPF],2.78,false,"Crystals:Naric:Pt:Urine sed:Qn:"
105908-8,Bacteria,Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/uL,"Bacteria [#/area] in Urine sediment",/uL,2.78,false,"Bacteria:Naric:Pt:Urine sed:Qn:"
88978-2,Fat,PrThr,Pt,"Urine sed",Ord,,UA,2.64,ACTIVE,1,Observation,,,"Fat [Presence] in Urine sediment",,2.64,false,"Fat:PrThr:Pt:Urine sed:Ord:"
105894-0,Casts,Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[HPF],"Casts [#/area] in Urine sediment",/[HPF],2.78,false,"Casts:Naric:Pt:Urine sed:Qn:"
105895-7,Casts,PrThr,Pt,"Urine sed",Ord,,UA,2.78,ACTIVE,1,Both,,,"Casts [Presence] in Urine sediment",,2.78,false,"Casts:PrThr:Pt:Urine sed:Ord:"
58441-7,"Other elements",-,Pt,"Urine sed",-,,PANEL.UA,2.32,DISCOURAGED,1,Observation,,,"Other elements in Urine sediment",,2.30,true,"Other elements:-:Pt:Urine sed:-:"
58435-9,"Microorganisms panel",-,Pt,"Urine sed",-,,PANEL.UA,2.61,DISCOURAGED,1,Order,,,"Microorganisms panel - Urine sediment",,2.30,true,"Microorganisms panel:-:Pt:Urine sed:-:"
105098-8,Yeast,Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[HPF],"Yeast [#/area] in Urine sediment",/[HPF],2.78,false,"Yeast:Naric:Pt:Urine sed:Qn:"
65634-8,"Creatinine 24 hour urine panel",-,24H,Urine,Qn,,PANEL.CHEM,2.73,DISCOURAGED,1,Order,,,"Creatinine 24 hour urine panel - 24 hour Urine",,2.36,true,"Creatinine 24 hour urine panel:-:24H:Urine:Qn:"
