LOINC Code,Query,Name,Predicted Score,Actual Score
18264-2,bilirubin in plasma,deprecated direct bilirubin mass volume serum plasma,0.8350383381798938,0.58575076
33899-6,bilirubin in plasma,bilirubin conjugated indirect mole volume serum plasma,0.8350383381798938,0.56842566
78441-3,bilirubin in plasma,bilirubin conjugated mole volume peritoneal fluid,0.8350383381798938,0.45805874
1970-3,bilirubin in plasma,bilirubin delta mass volume serum plasma,0.8350383381798938,0.5697516
29767-1,bilirubin in plasma,bilirubin total mole volume body fluid,0.8350383381798938,0.7971569
71612-6,bilirubin in plasma,basophil leukocyte pure number fraction pleural fluid manual count,0.8350383381798938,0.09887587
1972-9,bilirubin in plasma,bilirubin total mass volume amniotic fluid,0.8350383381798938,0.8020638
48254-7,bilirubin in plasma,mugwort triggered leukotriene release mass volume leukocyte,0.8350383381798938,0.07578604
14630-8,bilirubin in plasma,bilirubin indirect mole volume serum plasma,0.8350383381798938,0.57563174
32303-0,bilirubin in plasma,bilirubin total mole volume specimen,0.8350383381798938,0.78951716
39461-9,bilirubin in plasma,bilirubin total mole volume peritoneal fluid,0.8350383381798938,0.79178554
48234-9,bilirubin in plasma,acarus siro triggered leukotriene release mass volume leukocyte,0.8350383381798938,0.072264485
58450-8,bilirubin in plasma,bilirubin presence urine confirmatory method,0.8350383381798938,0.7689679
1978-6,bilirubin in plasma,bilirubin total mass volume urine,0.8350383381798938,0.79516894
34543-9,bilirubin in plasma,bilirubin direct total panel mass volume serum plasma,0.8350383381798938,0.55916125
53415-6,bilirubin in plasma,bilirubin total presence cerebral spinal fluid,0.8350383381798938,0.7781458
14422-0,bilirubin in plasma,bilirubin total mass volume peritoneal fluid,0.8350383381798938,0.8096103
59166-9,bilirubin in plasma,bilirubin total mole time 24 hour stool,0.8350383381798938,0.7719868
1973-7,bilirubin in plasma,bilirubin total mass volume cerebral spinal fluid,0.8350383381798938,0.79625225
71680-3,bilirubin in plasma,basophil leukocyte pure number fraction blood automated count,0.8350383381798938,0.1082283
5770-3,bilirubin in plasma,bilirubin total presence urine test strip,0.8350383381798938,0.7732775
48277-8,bilirubin in plasma,acetaminophen triggered leukotriene release mass volume leukocyte,0.8350383381798938,0.08442415
44075-0,bilirubin in plasma,bilirubin cast presence urine sediment light microscopy,0.8350383381798938,0.4431107
14423-8,bilirubin in plasma,bilirubin total mass volume synovial fluid,0.8350383381798938,0.7998797
48267-9,bilirubin in plasma,benzylpenicilloyl polylysine triggered leukotriene release mass volume leukocyte,0.8350383381798938,0.07376031
39463-5,bilirubin in plasma,bilirubin indirect mole volume body fluid,0.8350383381798938,0.46578467
48241-4,bilirubin in plasma,aspergillus fumigatus triggered leukotriene release mass volume leukocyte,0.8350383381798938,0.07588335
1971-1,bilirubin in plasma,bilirubin indirect mass volume serum plasma,0.8350383381798938,0.5827931
49763-6,bilirubin in plasma,bilirubin total mass volume pericardial fluid,0.8350383381798938,0.8025987
12476-8,bilirubin in plasma,bilirubin total mass volume amniotic fluid spectrophotometry direct,0.8350383381798938,0.82010245
64082-1,bilirubin in plasma,bilirubin indirect mass volume cord blood,0.8350383381798938,0.48302126
77452-1,bilirubin in plasma,bilirubin presence peritoneal fluid,0.8350383381798938,0.7932907
48185-3,bilirubin in plasma,honey bee triggered leukotriene release mass volume leukocyte,0.8350383381798938,0.07889234
71621-7,bilirubin in plasma,basophil leukocyte pure number fraction synovial fluid manual count,0.8350383381798938,0.09944086
81623-1,bilirubin in plasma,calcium oxalate energy difference 24 hour urine,0.5937442824422963,0.065011136
40998-7,bilirubin in plasma,calcium hydrogen phosphate dihydrate total stone,0.5937442824422963,0.04259907
25147-0,bilirubin in plasma,calcium carbonate crystal area urine sediment microscopy high power field,0.5937442824422963,0.065012306
101977-7,bilirubin in plasma,cortisol glucose somatotropin post glucagon stimulation panel serum plasma,0.5937442824422963,0.11903698
53306-7,bilirubin in plasma,calcium oxalate crystal area urine computer assisted method,0.5937442824422963,0.05306551
49501-0,bilirubin in plasma,calcium oxalate monohydrate total stone infrared spectroscopy,0.5937442824422963,0.05628841
47225-8,bilirubin in plasma,bilirubin total interpretation amniotic fluid,0.5937442824422963,0.78732634
41748-5,bilirubin in plasma,capn3 gene targeted mutation analysis blood tissue molecular genetics method,0.5937442824422963,0.04946736
25148-8,bilirubin in plasma,calcium oxalate crystal area urine sediment microscopy high power field,0.5937442824422963,0.066267155
79087-3,bilirubin in plasma,ct heart coronary artery calcium scoring wo contrast,0.5937442824422963,0.020525306
54230-8,bilirubin in plasma,cell count diff panel gluc prot cerebral spinal fluid,0.5937442824422963,0.054698095
53312-5,bilirubin in plasma,calcium carbonate crystal area urine computer assisted method,0.5937442824422963,0.05264633
89927-8,bilirubin in plasma,ct heart aortic root wo contrast calcium scoring cta w contrast iv,0.5937442824422963,0.032374024
44420-8,bilirubin in plasma,cacna1a gene targeted mutation analysis blood tissue molecular genetics method,0.5937442824422963,0.044116445
36935-5,bilirubin in plasma,ct heart calcium scoring w contrast iv,0.5937442824422963,0.021089047
36934-8,bilirubin in plasma,ct heart calcium scoring,0.5937442824422963,0.011282423
25377-3,bilirubin in plasma,recalcification time control platelet poor plasma coagulation assay,0.38133280958829896,0.07708923
1993-5,bilirubin in plasma,calcium renal clearance 24 hour urine serum plasma,0.38133280958829896,0.16530941
11282-1,bilirubin in plasma,cell counted total blood,0.38133280958829896,0.07882258
38258-0,bilirubin in plasma,cell counted total pleural fluid,0.38133280958829896,0.05940287
2352-3,bilirubin in plasma,glucose cerebrospinal fluid glucose plasma,0.38133280958829896,0.1655734
2003-2,bilirubin in plasma,deprecated calcium,0.38133280958829896,0.044187725
50407-6,bilirubin in plasma,cell leukocyte identifier cerebral spinal fluid,0.38133280958829896,0.06677149
54413-0,bilirubin in plasma,transfuse leukocyte poor plateletpheresis unit,0.38133280958829896,0.08380764
104634-1,bilirubin in plasma,continuous glucose monitor device date time reporting period start reported,0.38133280958829896,0.046058115
54415-5,bilirubin in plasma,transfuse leukocyte poor platelet unit,0.38133280958829896,0.08282223
11156-7,bilirubin in plasma,leukocyte morphology finding identifier blood,0.38133280958829896,0.07864618
