Query,LOINC Code,Name,Component,System,Property,Measurement,Status,Units,Normalized_Score
bilirubin in plasma,33898-8,bilirubin conjugated indirect mass volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,active,mg dl,0.58405316
bilirubin in plasma,33899-6,bilirubin conjugated indirect mole volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,active,umol l,0.56842566
bilirubin in plasma,50189-0,neonatal bilirubin panel mass volume serum plasma,neonatal bilirubin panel,serum plasma,mass concentration,mass volume,active,,0.5593899
bilirubin in plasma,15153-0,deprecated indirect bilirubin mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,deprecated,mg dl,0.5907873
bilirubin in plasma,1971-1,bilirubin indirect mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,active,mg dl,0.5827931
bilirubin in plasma,35192-4,bilirubin indirect mass mole volume serum plasma,bilirubin non glucuronidated,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.57394505
bilirubin in plasma,14630-8,bilirubin indirect mole volume serum plasma,bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,active,umol l,0.57563174
bilirubin in plasma,35672-5,bilirubin direct bilirubin total serum plasma,bilirubin glucuronidated bilirubin albumin bound bilirubin total,serum plasma,mfr,,active,,0.56345683
bilirubin in plasma,43820-0,bilirubin direct presence serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,prthr,presence,active,,0.55651784
bilirubin in plasma,34442-4,bilirubin conjugated bilirubin total serum plasma,bilirubin glucuronidated bilirubin total,serum plasma,mfr,,active,ratio,0.576038
bilirubin in plasma,1968-7,bilirubin direct mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,active,mg dl,0.5795989
bilirubin in plasma,35191-6,bilirubin direct mass mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.5618145
bilirubin in plasma,14629-0,bilirubin direct mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,substance concentration,mole volume,active,umol l,0.5702923
bilirubin in plasma,18264-2,deprecated direct bilirubin mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,deprecated,mg dl,0.58575076
bilirubin in plasma,34543-9,bilirubin direct total panel mass volume serum plasma,bilirubin direct total panel,serum plasma,mass concentration,mass volume,active,,0.55916125
bilirubin in plasma,15152-2,bilirubin conjugated mass volume serum plasma,bilirubin glucuronidated,serum plasma,mass concentration,mass volume,active,mg dl,0.5888754
bilirubin in plasma,29760-6,bilirubin conjugated mole volume serum plasma,bilirubin glucuronidated,serum plasma,substance concentration,mole volume,active,umol l,0.5643764
bilirubin in plasma,1975-2,bilirubin total mass volume serum plasma,bilirubin,serum plasma,mass concentration,mass volume,active,mg dl,0.91020834
bilirubin in plasma,14631-6,bilirubin total mole volume serum plasma,bilirubin,serum plasma,substance concentration,mole volume,active,umol l,0.90344995
bilirubin in plasma,35194-0,bilirubin total mass mole volume serum plasma,bilirubin,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.89331186
bilirubin in plasma,77137-8,bilirubin total mole volume serum plasma blood,bilirubin,serum plasma blood,substance concentration,mole volume,active,umol l,0.9010265
bilirubin in plasma,1970-3,bilirubin delta mass volume serum plasma,bilirubin albumin bound,serum plasma,mass concentration,mass volume,active,mg dl,0.5697516
bilirubin in plasma,22665-4,bilirubin delta mole volume serum plasma,bilirubin albumin bound,serum plasma,substance concentration,mole volume,active,umol l,0.5569396
bilirubin in plasma,1969-5,bilirubin total renal clearance 24 hour urine serum plasma,bilirubin renal clearance,urine serum plasma,vrat,,active,ml min,0.5547252
bilirubin in plasma,104708-3,deprecated estimated average glucose mole volume blood,estimated average glucose,blood,substance concentration,mole volume,deprecated,mg dl,0.08115615
bilirubin in plasma,2339-0,glucose mass volume blood,glucose,blood,mass concentration,mass volume,active,mg dl,0.09125715
bilirubin in plasma,15074-8,glucose mole volume blood,glucose,blood,substance concentration,mole volume,active,mmol l,0.091578804
bilirubin in plasma,40858-3,glucose mass volume capillary blood baseline,glucose baseline,bldc,mass concentration,mass volume,active,mg dl,0.06979865
bilirubin in plasma,41651-1,glucose mass volume arterial blood,glucose,blda,mass concentration,mass volume,active,mg dl,0.09271851
bilirubin in plasma,41652-9,glucose mass volume venous blood,glucose,bldv,mass concentration,mass volume,active,mg dl,0.08499466
bilirubin in plasma,39481-7,glucose mole volume arterial blood,glucose,blda,substance concentration,mole volume,active,mmol l,0.0856647
bilirubin in plasma,51596-5,glucose mole volume capillary blood,glucose,bldc,substance concentration,mole volume,active,mmol l,0.079399385
bilirubin in plasma,39480-9,glucose mole volume venous blood,glucose,bldv,substance concentration,mole volume,active,mmol l,0.0774343
bilirubin in plasma,87421-4,deprecated glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,deprecated,mg dl,0.07819157
bilirubin in plasma,49134-0,glucose mass volume blood 2 hour post dose glucose,glucose 2h post dose glucose,blood,mass concentration,mass volume,active,mg dl,0.08243462
bilirubin in plasma,104598-8,glucose mass volume arterial blood glucometer,glucose,blda,mass concentration,mass volume,active,mg dl,0.08941245
bilirubin in plasma,32016-8,glucose mass volume capillary blood,glucose,bldc,mass concentration,mass volume,active,mg dl,0.08525844
