LOINC Code,Query,Name,Predicted Score,Actual Score
15153-0,bilirubin in plasma,deprecated indirect bilirubin mass volume serum plasma,0.09447406430599395,0.5829026
22665-4,bilirubin in plasma,bilirubin delta mole volume serum plasma,0.09447406430599395,0.5484028
57566-2,bilirubin in plasma,25 hydroxyvitamin d3 mole volume serum plasma pre dose calcium,0.09447406430599395,0.15928367
57567-0,bilirubin in plasma,25 hydroxyvitamin d3 mole volume serum plasma 2 hour post dose calcium,0.09447406430599395,0.15908395
31024-3,bilirubin in plasma,voltage gated calcium channel ab mole volume serum,0.036313470212027445,0.068508245
35192-4,bilirubin in plasma,bilirubin indirect mass mole volume serum plasma,0.018087148718694664,0.5657359
43820-0,bilirubin in plasma,bilirubin direct presence serum plasma,0.018087148718694664,0.5479729
16526-6,bilirubin in plasma,calcium protein mass ratio serum plasma,0.018087148718694664,0.15839037
13444-5,bilirubin in plasma,calcium albumin mass ratio serum plasma,0.018087148718694664,0.15994719
30423-8,bilirubin in plasma,lymphoma cell leukocyte blood,0.0044020944009911175,0.060264427
34992-8,bilirubin in plasma,smudge cell leukocyte blood,0.0044020944009911175,0.0686494
74347-6,bilirubin in plasma,leukocyte aggregate presence blood light microscopy,0.0044020944009911175,0.067043364
32200-8,bilirubin in plasma,segmented neutrophil leukocyte blood automated count,0.0044020944009911175,0.07100554
44096-6,bilirubin in plasma,unidentified cell leukocyte blood automated count,0.0044020944009911175,0.06251391
33833-5,bilirubin in plasma,lymphocyte immunoblastic leukocyte blood manual count,0.0044020944009911175,0.058455292
6690-2,bilirubin in plasma,leukocyte volume blood automated count,0.0044020944009911175,0.08023481
19252-6,bilirubin in plasma,megakaryocyte leukocyte blood,0.0044020944009911175,0.07618479
33849-1,bilirubin in plasma,plasma cell precursor leukocyte blood manual count,0.0044020944009911175,0.08177221
34921-7,bilirubin in plasma,lymphocyte plasmacytoid leukocyte blood,0.0044020944009911175,0.074459285
26478-8,bilirubin in plasma,lymphocyte leukocyte blood,0.0044020944009911175,0.064074464
74428-4,bilirubin in plasma,metamyelocytes neutrophilic leukocyte blood manual count,0.0044020944009911175,0.06823094
764-1,bilirubin in plasma,band form neutrophil leukocyte blood manual count,0.0044020944009911175,0.07080997
74396-3,bilirubin in plasma,large unstained cell leukocyte cord blood automated count,0.0044020944009911175,0.06104481
26471-3,bilirubin in plasma,leukocyte leukocyte blood,0.0044020944009911175,0.07077505
782-3,bilirubin in plasma,deprecated promyelocytes 100 leukocyte blood automated count,0.0044020944009911175,0.0663255
26505-8,bilirubin in plasma,segmented neutrophil leukocyte blood,0.0044020944009911175,0.07483367
52999-0,bilirubin in plasma,leukocyte disintegrated volume blood,0.0044020944009911175,0.0953864
33256-9,bilirubin in plasma,leukocyte volume corrected nucleated erythrocyte blood automated count,0.0044020944009911175,0.08677805
714-6,bilirubin in plasma,eosinophil leukocyte blood manual count,0.0044020944009911175,0.059841182
6746-2,bilirubin in plasma,prolymphocytes leukocyte blood manual count,0.0044020944009911175,0.07673031
34469-7,bilirubin in plasma,leukocyte presence bile fluid light microscopy,0.0044020944009911175,0.07438839
74814-5,bilirubin in plasma,plasma cell centroblasts leukocyte blood manual count,0.0044020944009911175,0.07323355
55433-7,bilirubin in plasma,immature cell leukocyte blood,0.0044020944009911175,0.076642804
17790-7,bilirubin in plasma,leukocyte left shift presence blood automated count,0.0044020944009911175,0.06272779
71668-8,bilirubin in plasma,metamyelocytes leukocyte pure number fraction blood manual count,0.0044020944009911175,0.07348199
30157-2,bilirubin in plasma,heterophils leukocyte blood,0.0044020944009911175,0.0663562
57468-1,bilirubin in plasma,calcitriol mole volume serum plasma pre dose calcium,0.003396609698814723,0.16613512
71593-8,bilirubin in plasma,glucose 6 phosphate dehydrogenase enzymatic activity substance red blood cell,0.003396609698814723,0.083485454
17861-6,bilirubin in plasma,calcium mass volume serum plasma,0.003396609698814723,0.17745513
40086-1,bilirubin in plasma,calcium mass volume serum plasma 3 day post xxx challenge,0.003396609698814723,0.15872927
33980-4,bilirubin in plasma,voltage gated calcium channel p q type binding ab mole volume serum,0.003396609698814723,0.074025124
16272-7,bilirubin in plasma,calcium mass volume serum plasma 2 hour post xxx challenge,0.003396609698814723,0.1588895
40068-9,bilirubin in plasma,calcium mass volume serum plasma 45 minute post xxx challenge,0.003396609698814723,0.15609935
16270-1,bilirubin in plasma,calcium mass volume serum plasma 1 hour post xxx challenge,0.003396609698814723,0.16062824
27913-3,bilirubin in plasma,calcium mass volume serum plasma 7th specimen post xxx challenge,0.003396609698814723,0.16284274
16519-1,bilirubin in plasma,calcium mole volume serum plasma 10 minute post xxx challenge,0.003396609698814723,0.15518661
40239-6,bilirubin in plasma,calcium mole volume serum plasma 12 hour post xxx challenge,0.003396609698814723,0.1572908
40234-7,bilirubin in plasma,calcium mole volume serum plasma 4 hour post xxx challenge,0.003396609698814723,0.15826921
86915-6,bilirubin in plasma,calcium goal mass volume serum plasma,0.003396609698814723,0.1675905
50182-5,bilirubin in plasma,calcitonin mass volume serum plasma 2 minute post 2 mg kg calcium 0 5 ug kg pentagastrin iv,0.003396609698814723,0.15216379
17863-2,bilirubin in plasma,calcium ionized mass volume serum plasma,0.003396609698814723,0.1816735
40227-1,bilirubin in plasma,calcium mole volume serum plasma 30 minute post xxx challenge,0.003396609698814723,0.1576273
98020-1,bilirubin in plasma,leukocyte volume lower respiratory specimen manual count,0.003396609698814723,0.0643291
83114-9,bilirubin in plasma,s100 calcium binding protein b mass volume serum immunoassay,0.003396609698814723,0.052928627
1995-0,bilirubin in plasma,calcium ionized mole volume serum plasma,0.003396609698814723,0.16797861
49925-1,bilirubin in plasma,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell glock mclean,0.003396609698814723,0.07320257
74774-1,bilirubin in plasma,glucose mass volume serum plasma blood,0.003396609698814723,0.1764073
1380-5,bilirubin in plasma,calcium phosphate parathyroid challenge test mass ratio serum,0.001956833552423834,0.046282317
13522-8,bilirubin in plasma,blast leukocyte body fluid manual count,0.001956833552423834,0.055386987
71675-3,bilirubin in plasma,basophil leukocyte pure number fraction blood manual count,0.001956833552423834,0.09116488
13519-4,bilirubin in plasma,basophil leukocyte cerebral spinal fluid manual count,0.001956833552423834,0.07041397
