LOINC Code,Query,Name,Predicted Score,Actual Score
15152-2,bilirubin in plasma,bilirubin conjugated mass volume serum plasma,0.6955416773500951,0.5888754
32303-0,bilirubin in plasma,bilirubin total mole volume specimen,0.6955416773500951,0.78951716
14424-6,bilirubin in plasma,bilirubin total mass volume gastric fluid,0.6955416773500951,0.7963963
14152-3,bilirubin in plasma,bilirubin direct mass volume body fluid,0.6955416773500951,0.47476116
89871-8,bilirubin in plasma,bilirubin total mole volume venous blood,0.6955416773500951,0.7839001
1968-7,bilirubin in plasma,bilirubin direct mass volume serum plasma,0.6955416773500951,0.5795989
97770-2,bilirubin in plasma,bilirubin total mole volume capillary blood,0.6955416773500951,0.7866891
48211-7,bilirubin in plasma,beef triggered leukotriene release mass volume leukocyte,0.6955416773500951,0.076671846
48198-6,bilirubin in plasma,amoxicillin triggered leukotriene release mass volume leukocyte,0.6955416773500951,0.08554183
71675-3,bilirubin in plasma,basophil leukocyte pure number fraction blood manual count,0.6955416773500951,0.108345166
1974-5,bilirubin in plasma,bilirubin total mass volume body fluid,0.6955416773500951,0.7950558
29210-2,bilirubin in plasma,bilirubin indirect mass volume body fluid,0.6955416773500951,0.47299352
39462-7,bilirubin in plasma,bilirubin conjugated mole volume body fluid,0.6955416773500951,0.4513553
35192-4,bilirubin in plasma,bilirubin indirect mass mole volume serum plasma,0.6955416773500951,0.57394505
70199-5,bilirubin in plasma,bilirubin total mole volume urine,0.6955416773500951,0.78064775
48220-8,bilirubin in plasma,oat triggered leukotriene release mass volume leukocyte,0.6955416773500951,0.07680888
78441-3,bilirubin in plasma,bilirubin conjugated mole volume peritoneal fluid,0.6955416773500951,0.45233002
48623-3,bilirubin in plasma,bilirubin direct mass volume cord blood,0.6955416773500951,0.46970794
33870-7,bilirubin in plasma,bilirubin total presence specimen,0.6955416773500951,0.7713787
53415-6,bilirubin in plasma,bilirubin total presence cerebral spinal fluid,0.6955416773500951,0.7693551
71631-6,bilirubin in plasma,basophil leukocyte pure number fraction peritoneal fluid manual count,0.6955416773500951,0.10038531
48255-4,bilirubin in plasma,giant ragweed triggered leukotriene release mass volume leukocyte,0.6955416773500951,0.08297177
14420-4,bilirubin in plasma,bilirubin total mass volume dialysis fluid,0.6955416773500951,0.7950166
41899-6,bilirubin in plasma,glucose meter device vendor serial number,0.2352908467925564,0.030912386
36934-8,bilirubin in plasma,ct heart calcium scoring,0.2352908467925564,0.011282423
74802-0,bilirubin in plasma,glucose challenge hydrogen breath test interpretation exhaled gas,0.2352908467925564,0.05125542
2353-1,bilirubin in plasma,glucose phosphate isomerase enzymatic activity volume serum,0.2352908467925564,0.11037289
49926-9,bilirubin in plasma,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell method,0.2352908467925564,0.08637604
83289-9,bilirubin in plasma,ct calcium scoring wo contrast cta w contrast iv heart coronary artery,0.2352908467925564,0.029171916
75196-6,bilirubin in plasma,leukocyte count protein test performed csf test finding cdc component,0.2352908467925564,0.052571114
2800-1,bilirubin in plasma,deprecated glucose phosphate isomerase enzymatic activity volume serum,0.2352908467925564,0.100200064
2357-2,bilirubin in plasma,glucose 6 phosphate dehydrogenase enzymatic activity volume red blood cell,0.2352908467925564,0.113779515
52041-1,bilirubin in plasma,blood glucose monitor attachment,0.2352908467925564,0.044375595
