LOINC Code,Query,Name,Predicted Score,Actual Score
39461-9,bilirubin in plasma,bilirubin total mole volume peritoneal fluid,0.8685477043392433,0.79178554
54362-9,bilirubin in plasma,bilirubin total mole volume dialysis fluid,0.8685477043392433,0.7859268
33870-7,bilirubin in plasma,bilirubin total presence specimen,0.8685477043392433,0.7713787
21114-4,bilirubin in plasma,deprecated blast 100 leukocyte blood automated count,0.8685477043392433,0.08402804
14627-4,bilirubin in plasma,bicarbonate mole volume venous blood,0.8685477043392433,0.11729693
18264-2,bilirubin in plasma,deprecated direct bilirubin mass volume serum plasma,0.8685477043392433,0.58575076
68367-2,bilirubin in plasma,bilirubin total mole volume urine automated test strip,0.8685477043392433,0.78091353
1970-3,bilirubin in plasma,bilirubin delta mass volume serum plasma,0.8685477043392433,0.5697516
14424-6,bilirubin in plasma,bilirubin total mass volume gastric fluid,0.8685477043392433,0.80089366
1974-5,bilirubin in plasma,bilirubin total mass volume body fluid,0.8685477043392433,0.8043894
35194-0,bilirubin in plasma,bilirubin total mass mole volume serum plasma,0.8685477043392433,0.89331186
1977-8,bilirubin in plasma,bilirubin total presence urine,0.8685477043392433,0.770872
53415-6,bilirubin in plasma,bilirubin total presence cerebral spinal fluid,0.8685477043392433,0.7781458
14152-3,bilirubin in plasma,bilirubin direct mass volume body fluid,0.8685477043392433,0.4838165
58450-8,bilirubin in plasma,bilirubin presence urine confirmatory method,0.8685477043392433,0.7689679
29767-1,bilirubin in plasma,bilirubin total mole volume body fluid,0.8685477043392433,0.7971569
33458-1,bilirubin in plasma,bilirubin conjugated mass volume body fluid,0.8685477043392433,0.47262886
1976-0,bilirubin in plasma,bilirubin total presence stool,0.8685477043392433,0.7605909
44075-0,bilirubin in plasma,bilirubin cast presence urine sediment light microscopy,0.8685477043392433,0.4431107
97770-2,bilirubin in plasma,bilirubin total mole volume capillary blood,0.8685477043392433,0.7866891
14630-8,bilirubin in plasma,bilirubin indirect mole volume serum plasma,0.8685477043392433,0.57563174
5770-3,bilirubin in plasma,bilirubin total presence urine test strip,0.8685477043392433,0.7732775
74906-9,bilirubin in plasma,bilirubin total mole volume cerebral spinal fluid,0.8685477043392433,0.7796204
